2025-02-20 02:25:18 startup packages remove
2025-02-20 02:25:18 status installed fwupd:amd64 1.7.9-1~22.04.3
2025-02-20 02:25:18 remove fwupd:amd64 1.7.9-1~22.04.3 <none>
2025-02-20 02:25:18 status half-configured fwupd:amd64 1.7.9-1~22.04.3
2025-02-20 02:25:18 status half-installed fwupd:amd64 1.7.9-1~22.04.3
2025-02-20 02:25:18 status triggers-pending man-db:amd64 2.10.2-1
2025-02-20 02:25:18 status triggers-pending dbus:amd64 1.12.20-2ubuntu4.1
2025-02-20 02:25:18 status config-files fwupd:amd64 1.7.9-1~22.04.3
2025-02-20 02:25:18 status installed modemmanager:amd64 1.20.0-1~ubuntu22.04.4
2025-02-20 02:25:18 remove modemmanager:amd64 1.20.0-1~ubuntu22.04.4 <none>
2025-02-20 02:25:18 status half-configured modemmanager:amd64 1.20.0-1~ubuntu22.04.4
2025-02-20 02:25:18 status half-installed modemmanager:amd64 1.20.0-1~ubuntu22.04.4
2025-02-20 02:25:18 status config-files modemmanager:amd64 1.20.0-1~ubuntu22.04.4
2025-02-20 02:25:18 status installed udisks2:amd64 2.9.4-1ubuntu2
2025-02-20 02:25:18 remove udisks2:amd64 2.9.4-1ubuntu2 <none>
2025-02-20 02:25:18 status half-configured udisks2:amd64 2.9.4-1ubuntu2
2025-02-20 02:25:18 status half-installed udisks2:amd64 2.9.4-1ubuntu2
2025-02-20 02:25:18 status config-files udisks2:amd64 2.9.4-1ubuntu2
2025-02-20 02:25:18 startup packages configure
2025-02-20 02:25:18 trigproc dbus:amd64 1.12.20-2ubuntu4.1 <none>
2025-02-20 02:25:18 status half-configured dbus:amd64 1.12.20-2ubuntu4.1
2025-02-20 02:25:18 status installed dbus:amd64 1.12.20-2ubuntu4.1
2025-02-20 02:25:18 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-20 02:25:18 status half-configured man-db:amd64 2.10.2-1
2025-02-20 02:25:18 status installed man-db:amd64 2.10.2-1
2025-02-20 02:25:18 startup packages purge
2025-02-20 02:25:18 purge udisks2:amd64 2.9.4-1ubuntu2 <none>
2025-02-20 02:25:18 status config-files udisks2:amd64 2.9.4-1ubuntu2
2025-02-20 02:25:18 status not-installed udisks2:amd64 <none>
2025-02-20 02:25:18 purge modemmanager:amd64 1.20.0-1~ubuntu22.04.4 <none>
2025-02-20 02:25:18 status config-files modemmanager:amd64 1.20.0-1~ubuntu22.04.4
2025-02-20 02:25:18 status triggers-pending dbus:amd64 1.12.20-2ubuntu4.1
2025-02-20 02:25:19 status not-installed modemmanager:amd64 <none>
2025-02-20 02:25:19 purge fwupd:amd64 1.7.9-1~22.04.3 <none>
2025-02-20 02:25:19 status config-files fwupd:amd64 1.7.9-1~22.04.3
2025-02-20 02:25:19 status not-installed fwupd:amd64 <none>
2025-02-20 02:25:19 startup packages configure
2025-02-20 02:25:19 trigproc dbus:amd64 1.12.20-2ubuntu4.1 <none>
2025-02-20 02:25:19 status half-configured dbus:amd64 1.12.20-2ubuntu4.1
2025-02-20 02:25:19 status installed dbus:amd64 1.12.20-2ubuntu4.1
2025-02-20 02:32:20 startup packages remove
2025-02-20 02:32:20 status installed linux-virtual:amd64 5.15.0.133.132
2025-02-20 02:32:20 remove linux-virtual:amd64 5.15.0.133.132 <none>
2025-02-20 02:32:20 status half-configured linux-virtual:amd64 5.15.0.133.132
2025-02-20 02:32:20 status half-installed linux-virtual:amd64 5.15.0.133.132
2025-02-20 02:32:20 status config-files linux-virtual:amd64 5.15.0.133.132
